 Perioade,Termekek,Szocialis_retegek,Lakhely,Mertekegyseg,Ertek
2022-01-01,Sör,Nyugdíjasok,Városi,Litri,1.347
2001-01-01,Sör,Nyugdíjasok,Vidéki,Litri,0.462
2002-01-01,Sör,Nyugdíjasok,Vidéki,Litri,0.449
2003-01-01,Sör,Nyugdíjasok,Vidéki,Litri,0.482
2004-01-01,Sör,Nyugdíjasok,Vidéki,Litri,0.541
2005-01-01,Sör,Nyugdíjasok,Vidéki,Litri,0.658
2006-01-01,Sör,Nyugdíjasok,Vidéki,Litri,0.719
2007-01-01,Sör,Nyugdíjasok,Vidéki,Litri,0.897
2008-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.104
2009-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.042
2010-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.054
2011-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.024
2012-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.068
2013-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.036
2014-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.043
2015-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.184
2016-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.291
2017-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.409
2018-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.438
2019-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.463
2020-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.546
2021-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.608
2022-01-01,Sör,Nyugdíjasok,Vidéki,Litri,1.462
2001-01-01,Pálinka,Total,Total,Litri,0.279
2002-01-01,Pálinka,Total,Total,Litri,0.252
2003-01-01,Pálinka,Total,Total,Litri,0.256
2004-01-01,Pálinka,Total,Total,Litri,0.256
2005-01-01,Pálinka,Total,Total,Litri,0.232
2006-01-01,Pálinka,Total,Total,Litri,0.213
2007-01-01,Pálinka,Total,Total,Litri,0.213
2008-01-01,Pálinka,Total,Total,Litri,0.224
2009-01-01,Pálinka,Total,Total,Litri,0.23
2010-01-01,Pálinka,Total,Total,Litri,0.218
2011-01-01,Pálinka,Total,Total,Litri,0.217
2012-01-01,Pálinka,Total,Total,Litri,0.205
2013-01-01,Pálinka,Total,Total,Litri,0.206
2014-01-01,Pálinka,Total,Total,Litri,0.221
2015-01-01,Pálinka,Total,Total,Litri,0.2
2016-01-01,Pálinka,Total,Total,Litri,0.21
2017-01-01,Pálinka,Total,Total,Litri,0.212
2018-01-01,Pálinka,Total,Total,Litri,0.204
2019-01-01,Pálinka,Total,Total,Litri,0.211
2020-01-01,Pálinka,Total,Total,Litri,0.192
2021-01-01,Pálinka,Total,Total,Litri,0.193
2022-01-01,Pálinka,Total,Total,Litri,0.193
2001-01-01,Pálinka,Total,Városi,Litri,0.153
2002-01-01,Pálinka,Total,Városi,Litri,0.131
2003-01-01,Pálinka,Total,Városi,Litri,0.13
2004-01-01,Pálinka,Total,Városi,Litri,0.144
2005-01-01,Pálinka,Total,Városi,Litri,0.131
2006-01-01,Pálinka,Total,Városi,Litri,0.121
2007-01-01,Pálinka,Total,Városi,Litri,0.115
2008-01-01,Pálinka,Total,Városi,Litri,0.122
2009-01-01,Pálinka,Total,Városi,Litri,0.12
2010-01-01,Pálinka,Total,Városi,Litri,0.12
2011-01-01,Pálinka,Total,Városi,Litri,0.12
2012-01-01,Pálinka,Total,Városi,Litri,0.115
2013-01-01,Pálinka,Total,Városi,Litri,0.117
2014-01-01,Pálinka,Total,Városi,Litri,0.124
2015-01-01,Pálinka,Total,Városi,Litri,0.115
2016-01-01,Pálinka,Total,Városi,Litri,0.131
2017-01-01,Pálinka,Total,Városi,Litri,0.13
2018-01-01,Pálinka,Total,Városi,Litri,0.116
2019-01-01,Pálinka,Total,Városi,Litri,0.126
2020-01-01,Pálinka,Total,Városi,Litri,0.112
2021-01-01,Pálinka,Total,Városi,Litri,0.104
2022-01-01,Pálinka,Total,Városi,Litri,0.11
2001-01-01,Pálinka,Total,Vidéki,Litri,0.424
2002-01-01,Pálinka,Total,Vidéki,Litri,0.391
2003-01-01,Pálinka,Total,Vidéki,Litri,0.394
2004-01-01,Pálinka,Total,Vidéki,Litri,0.384
2005-01-01,Pálinka,Total,Vidéki,Litri,0.353
2006-01-01,Pálinka,Total,Vidéki,Litri,0.323
2007-01-01,Pálinka,Total,Vidéki,Litri,0.334
2008-01-01,Pálinka,Total,Vidéki,Litri,0.348
2009-01-01,Pálinka,Total,Vidéki,Litri,0.363
2010-01-01,Pálinka,Total,Vidéki,Litri,0.338
2011-01-01,Pálinka,Total,Vidéki,Litri,0.336
2012-01-01,Pálinka,Total,Vidéki,Litri,0.314
2013-01-01,Pálinka,Total,Vidéki,Litri,0.314
2014-01-01,Pálinka,Total,Vidéki,Litri,0.334
2015-01-01,Pálinka,Total,Vidéki,Litri,0.3
2016-01-01,Pálinka,Total,Vidéki,Litri,0.303
2017-01-01,Pálinka,Total,Vidéki,Litri,0.307
2018-01-01,Pálinka,Total,Vidéki,Litri,0.308
2019-01-01,Pálinka,Total,Vidéki,Litri,0.312
2020-01-01,Pálinka,Total,Vidéki,Litri,0.286
2021-01-01,Pálinka,Total,Vidéki,Litri,0.298
2022-01-01,Pálinka,Total,Vidéki,Litri,0.291
2001-01-01,Pálinka,Alkalmazottak,Total,Litri,0.205
2002-01-01,Pálinka,Alkalmazottak,Total,Litri,0.168
2003-01-01,Pálinka,Alkalmazottak,Total,Litri,0.169
2004-01-01,Pálinka,Alkalmazottak,Total,Litri,0.18
2005-01-01,Pálinka,Alkalmazottak,Total,Litri,0.167
2006-01-01,Pálinka,Alkalmazottak,Total,Litri,0.148
2007-01-01,Pálinka,Alkalmazottak,Total,Litri,0.154
2008-01-01,Pálinka,Alkalmazottak,Total,Litri,0.152
2009-01-01,Pálinka,Alkalmazottak,Total,Litri,0.161
2010-01-01,Pálinka,Alkalmazottak,Total,Litri,0.156
2011-01-01,Pálinka,Alkalmazottak,Total,Litri,0.153
2012-01-01,Pálinka,Alkalmazottak,Total,Litri,0.151
2013-01-01,Pálinka,Alkalmazottak,Total,Litri,0.151
2014-01-01,Pálinka,Alkalmazottak,Total,Litri,0.161
2015-01-01,Pálinka,Alkalmazottak,Total,Litri,0.15
2016-01-01,Pálinka,Alkalmazottak,Total,Litri,0.169
2017-01-01,Pálinka,Alkalmazottak,Total,Litri,0.17
2018-01-01,Pálinka,Alkalmazottak,Total,Litri,0.155
2019-01-01,Pálinka,Alkalmazottak,Total,Litri,0.16
2020-01-01,Pálinka,Alkalmazottak,Total,Litri,0.152
2021-01-01,Pálinka,Alkalmazottak,Total,Litri,0.152
2022-01-01,Pálinka,Alkalmazottak,Total,Litri,0.153
2001-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.15
2002-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.12
2003-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.12
2004-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.132
2005-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.118
2006-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.105
2007-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.102
2008-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.11
2009-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.111
2010-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.109
2011-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.104
2012-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.111
2013-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.107
2014-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.111
2015-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.103
2016-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.117
2017-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.117
2018-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.102
2019-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.112
2020-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.1
2021-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.09
2022-01-01,Pálinka,Alkalmazottak,Városi,Litri,0.099
2001-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.379
2002-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.33
2003-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.32
2004-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.312
2005-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.316
2006-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.271
2007-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.298
2008-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.265
2009-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.293
2010-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.281
2011-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.289
2012-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.256
2013-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.271
2014-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.287
2015-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.251
2016-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.277
2017-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.27
2018-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.259
2019-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.257
2020-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.246
2021-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.263
2022-01-01,Pálinka,Alkalmazottak,Vidéki,Litri,0.248
2001-01-01,Pálinka,Munkanélküliek,Total,Litri,0.216
2002-01-01,Pálinka,Munkanélküliek,Total,Litri,0.193
2003-01-01,Pálinka,Munkanélküliek,Total,Litri,0.178
2004-01-01,Pálinka,Munkanélküliek,Total,Litri,0.19
2005-01-01,Pálinka,Munkanélküliek,Total,Litri,0.176
2006-01-01,Pálinka,Munkanélküliek,Total,Litri,0.168
2007-01-01,Pálinka,Munkanélküliek,Total,Litri,0.161
2008-01-01,Pálinka,Munkanélküliek,Total,Litri,0.145
2009-01-01,Pálinka,Munkanélküliek,Total,Litri,0.151
2010-01-01,Pálinka,Munkanélküliek,Total,Litri,0.168
2011-01-01,Pálinka,Munkanélküliek,Total,Litri,0.175
2012-01-01,Pálinka,Munkanélküliek,Total,Litri,0.119
2013-01-01,Pálinka,Munkanélküliek,Total,Litri,0.152
2014-01-01,Pálinka,Munkanélküliek,Total,Litri,0.151
2015-01-01,Pálinka,Munkanélküliek,Total,Litri,0.199
2016-01-01,Pálinka,Munkanélküliek,Total,Litri,0.143
2017-01-01,Pálinka,Munkanélküliek,Total,Litri,0.15
2018-01-01,Pálinka,Munkanélküliek,Total,Litri,0.158
2019-01-01,Pálinka,Munkanélküliek,Total,Litri,0.169
2020-01-01,Pálinka,Munkanélküliek,Total,Litri,0.157
2021-01-01,Pálinka,Munkanélküliek,Total,Litri,0.128
2022-01-01,Pálinka,Munkanélküliek,Total,Litri,0.167
2001-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.119
2002-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.13
2003-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.12
2004-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.148
2005-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.133
2006-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.127
2007-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.133
2008-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.11
2009-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.099
2010-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.098
2011-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.118
2012-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.097
2013-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.096
2014-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.107
2015-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.107
2016-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.143
2017-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.101
2018-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.077
2019-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.115
2020-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.102
2021-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.089
2022-01-01,Pálinka,Munkanélküliek,Városi,Litri,0.165
2001-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.38
2002-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.302
2003-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.287
2004-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.259
2005-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.247
2006-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.225
2007-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.208
2008-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.196
2009-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.261
2010-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.304
2011-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.286
2012-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.158
2013-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.26
2014-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.235
2015-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.324
2016-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.142
2017-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.207
2018-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.23
2019-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.226
2020-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.232
2021-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.163
2022-01-01,Pálinka,Munkanélküliek,Vidéki,Litri,0.17
2001-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.347
2002-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.324
2003-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.331
2004-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.34
2005-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.293
2006-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.275
2007-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.275
2008-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.301
2009-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.292
2010-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.277
2011-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.271
2012-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.251
2013-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.252
2014-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.263
2015-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.251
2016-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.247
2017-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.251
2018-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.256
2019-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.263
2020-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.237
2021-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.242
2022-01-01,Pálinka,Nyugdíjasok,Total,Litri,0.241
2001-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.171
2002-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.147
2003-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.15
2004-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.159
2005-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.144
2006-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.138
2007-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.125
2008-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.141
2009-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.135
2010-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.137
2011-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.14
2012-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.123
2013-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.132
2014-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.138
2015-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.129
2016-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.15
2017-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.152
2018-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.143
2019-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.15
2020-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.133
2021-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.132
2022-01-01,Pálinka,Nyugdíjasok,Városi,Litri,0.13
2001-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.495
2002-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.469
2003-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.476
2004-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.491
2005-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.425
2006-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.4
2007-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.411
2008-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.452
2009-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.44
2010-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.405
2011-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.396
2012-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.378
2013-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.37
2014-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.384
2015-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.372
2016-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.34
2017-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.357
2018-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.377
2019-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.375
2020-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.344
2021-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.357
2022-01-01,Pálinka,Nyugdíjasok,Vidéki,Litri,0.36
